tweet,Processed Text
BAPAK INI BUTUH BANTUAN KALIAN,"['bapak', 'butuh', 'bantu', 'kalian']"
Kaget bgt dah beristri. Nitip ya jam digital,"['kaget', 'banget', 'deh', 'istri', 'nitip', 'jam', 'digital']"
Demi apa sihh nemu kardigan baget gini,"['apa', 'sih', 'nemu', 'kardigan', 'banget', 'gin']"
"Ini dia penanggung jawab air bersih jakarta, simak video dibawah ini.","['tanggung', 'jawab', 'air', 'bersih', 'jakarta', 'simak', 'video', 'bawah']"
"""OMG",['omg']
"""",[]
"""boleh minta bantu tolong like gak temen-temen?","['meminta', 'bantu', 'like', 'enggak', 'tementemen']"
"""",[]
"""Mungkin emang gamau di publish kali istrinya","['mungkin', 'memang', 'enggak mau', 'publish', 'kali', 'istri']"
"Numpang promo kak""","['numpang', 'promo', 'kak']"
bininya mending sama gue,"['bini', 'lebih baik', 'sama', 'saya']"
"""Beneran niiiih woaah","['benaran', 'niiiih', 'woaah']"
"Eh yg cari cardigan lucuu bisa cek nih lucu parahh""","['eh', 'yang', 'cari', 'cardigan', 'lucu', 'cek', 'ini', 'lucu', 'parah']"
Pengalih4n 1su p3ncuc1aN uang n4x pr3sid3n :)),"['pengalihn', 'su', 'pncucan', 'uang', 'nx', 'prsidn']"
HAHHHH KAGETT BANGETT ANJIRRR,"['hahhhh', 'kagett', 'banget', 'anjir']"
Rekomendasi kulot Jeas premium dan Hem Kotak wanita,"['rekomendasi', 'kulot', 'jeas', 'premium', 'hem', 'kotak', 'wanita']"
"""ga kaget ga kaget","['enggak', 'kaget', 'enggak', 'kaget']"
Mending liat nih RACUN SHOPEE DRESS KOREA,"['lebih baik', 'lihat', 'ini', 'racun', 'shopee', 'dress', 'korea']"
"1. Korean midi dress 119k ""","['korean', 'midi', 'dress', 'ke']"
Yg cari alumunium foil nih murah meriah free ongkir pula,"['yang', 'cari', 'alumunium', 'foil', 'ini', 'murah', 'riah', 'free', 'ongkos kirim']"
twitter pls do your magic! telor dadar ini dijual 3 milyar,"['twitter', 'pls', 'di', 'your', 'magic', 'telor', 'dadar', 'jual', 'milyar']"
Ardito gak suka camping si. Kalo demen kan gak maen gituan. Nih di keep dulu,"['ardito', 'enggak', 'suka', 'camping', 'sih', 'kalau', 'suka', 'kan', 'enggak', 'main', 'begituan', 'ini', 'keep', 'dulu']"
Gw yg ga tau dia siapa,"['saya', 'yang', 'enggak', 'tahu', 'siapa']"
